name_code	common_name	database_id
fer-5666	Double edge maidenhair	140
fer-5681	Southern maidenhair	140
fer-5681	Venus-hair fern	140
fer-5681	Venushaar	140
fer-5686	Trailing maidenhair	140
fer-5686	Tailed maidenhair	140
fer-5695	Common Maidenhair Fern	140
fer-5695	Brittle maidenhair	140
fer-5708	Filmy maidenhair	140
fer-5708	Small maidenhair	140
fer-5726	Giant maidenhair	140
fer-5726	Black-stem maidenhair	140
fer-5726	Australian maidenhair	140
fer-5728	Fragile maidenhair	140
fer-5746	Rosy maidenhair	140
fer-5746	Rough maidenhair	140
fer-s.5757	Ghatak's maidenhair fern	140
fer-5761	California Maidenhair Fern	140
fer-5768	Broadleaf maidenhair	140
fer-5785	Fragrant Maiden-hair	140
fer-5815	Northern Maidenhair Fern	140
fer-s.5815	Northern Maidenhair Fern	140
fer-5818	Silver-dollar fern	140
fer-5829	Giant maidenhair	140
fer-5834	Glossy maidenhair	140
fer-5837	Pyramid maidenhair	140
fer-5838	Delta maidenhair	140
fer-5840	Talerfarn (D)	140
fer-5840	Hierba tostonera (Esp)	140
fer-s.5840	Talerfarn (D)	140
fer-s.5840	Hierba tostonera (Esp)	140
fer-5872	Brittle Maidenhair Fern	140
fer-5872	Fan maidenhair	140
fer-5884	Diamond maidenhair	140
fer-5886	Hairy Maidenhair Fern	140
fer-5886	Fuzzy maidenhair	140
fer-5892	Hardy maidenhair	140
fer-5892	Evergreen maidenhair	140
fer-5894	Woolly maidenhair	140
fer-5896	Green Mountain Maidenhair	140
fer-5956	Stiff shoestring fern	140
fer-5995	Ox-tongue fern	140
fer-6025	Appalachian shoestring fern	140
fer-6027	Grass Fern	140
fer-6029	Shoestring Fern	140
fer-6051	Bootlace Fern	140
