ReferenceID	Authors	Year	Title	Source
32495	Roesler	1940	Neue Copeognathen.	Arbeiten über morphologische und taxonomische Entomologie 7(3):236-244
32496	Roesler	1943	Über einige Copeognathengenera.	Stettiner Entomologische Zeitung 104:1-14
32497	Roesler	1944	Die Gattungen der Copeognathen.	Stettiner Entomologische Zeitung 105:117-166
32498	Roesler	1953	Zwei neue Lachesilla-Arten (Psocoptera).	Entomologische Berichten, Amsterdam 14
32499	Roesler	1954	Neue Gattungen und Arten der deutschen Psocopterenfauna (Psocoptera).	Beiträge zur Entomologie 4(5/6)
32509	Rosen	1911	Mitteilungen über südeuropäische Copeognathen.	Mitteilungen der Münchener Entomologischen Gesellschaft 1911
32513	Rostock	1876	Psocidenjagd im Hause.	Entomologische Nachrichten 2
32514	Rostock	1878	Die Ephemeriden und Psociden Sachsens mit Berücksichtigung der meisten übrigen deutschen Arten.	Jahresbericht des Vereins für Naturkunde zu Zwickau 1877-1878
32515	Rostock	1879	Ueber eine besondere nordrussische Psocus-Art.	Entomologische Nachrichten 5
32550	Saville, B.	1999	The barklice (Insecta: Psocoptera) of the Lothians (Scotland).	Glasgow Naturalist 23(4)
32557	Schille	1904	Eine neue Psociden-Varietät.	Zoologischer Anzeiger 27
32567	Schmidt, E. R.	1993	Replacement name for Ectopsocus brunneus Vishnyakova (Psocoptera: Ectopsocidae).	Memoirs of the Museum of Victoria 53(2 1992)
32568	Schmidt, E. R. & Thornton	1993	The Psocoptera (Insecta) of Wilsons Promontory National Park, Victoria, Australia.	Memoirs of the Museum of Victoria 53(2, 1992)
32603	Schrank	1776	Abbildung einiger Insecten, von denen meines Wissens noch keine, oder keine gute Zeichnung gemacht worden ist.	Schrank Beiträge 1776
32604	Schrank	1781	Enumeratio insectorum Austriae indigenorum.	Enumeratio insectorum Austriae indigenorum, August. Vindelicor, Klett IX+548 pp., 4 pls.
32611	Scopoli	1763	Entomologia Carniolica exhibens insecta Carnioliae indigena et distributa in ordines, genera, species, varietates, methodo Linneana.	Entomologia Carniolica exhibens insecta Carnioliae indigena et distributa in ordines, genera, species, varietates, methodo Linneana, Vindobonae 36+420 pp., 43 pls.
32626	Selys-Longchamps	1872	Notes on two new genera of Psocidae.	Entomologist's Monthly Magazine 9
32675	Smithers, Courtenay	1956	"A new species of Isophanes (Caeciliidae, Psocoptera) from Natal."	Journal of the Entomological Society of Southern Africa 19(1)
32677	Smithers, Courtenay	1957	Three new species of Myopsocidae (Psocoptera) from Natal.	Proceedings of the Royal Entomological Society of London (B) 26
32678	Smithers, Courtenay	1957	Some new species of Mesopsocus (Psocoptera: Mesopsocidae) from Southern Africa.	Transactions of the Royal Entomological Society of London 109(7)
32679	Smithers, Courtenay	1957	Notes et descriptions sur les Psocoptères de Madagascar.	Naturaliste malgache 9(2)
