ReferenceID	Authors	Year	Title	Source
15812	Ravizza, C.	2005	Leuctra gardinii, an apterous new species of Leuctridae (Plecoptera) from the western Italian Alps	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 27(2):95-97
15813	Sivec	2005	Cryptoperla dui, sp. n., a new stonefly from South China (Plecoptera: Peltoperlidae).   	Illiesia: International Journal of Stonefly Research (Illiesia) 1(2):8-9
15814	Stark & Sivec	2005	New species of Tyloperla (Plecoptera: Perlidae) from Vietnam and Thailand  	Illiesia: International Journal of Stonefly Research (Illiesia) 1(1):1-7
15815	Vinçon & Ravizza	2005	A review of the French Protonemura (Plecoptera, Nemouridae)	Annales de Limnologie / International Journal of Limnology (Ann. Limnol.) 41(2):99-126
15816	Jin, Y. & Bae	2005	The wingless stonefly family Scopuridae (Plecoptera) in Korea	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 27(1):21-34
15817	Kondratieff, Kirchner & Lenat	2005	Two new species of Haploperla Navas (Plecoptera: Chloroperlidae) from North Carolina, U.S.A	Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Wash.) 107(4):859-863
15818	Li, Weihai & D. Yang	2005	Two new species of Amphinemura (Plecoptera: Nemouridae) from Sichuan, China.  	Zootaxa 1083:63-68
15819	Yang, D., Weihai Li & Sivec	2005	A new species of Amphinemura from south China (Plecoptera: Nemouridae)  	Zootaxa 805:1-4
15820	Potikha & Zhiltzova	2005	The stonefly fauna in the central Sikhote-Alin Mountains with description of new species	Zoologicheskii Zhurnal (Zool. Zh.) 84(9):1086-1091
15821	Graf	2005	Leuctra astridae, a new species of Plecoptera from the Austrian Alps	Illiesia: International Journal of Stonefly Research (Illiesia) 1(8):47-51
15822	Grubbs	2005	Perlesta shawnee (Plecoptera: Perlidae), a new stonefly species from eastern North America.	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 27(1):63-69
15824	Ansorge	1993	Dobbertiniopteryx capniomimus gen. et sp. nov. - die erste Steinfliege (Insecta: Plecoptera) aus dem europaischen Jura [Dobbertiniopteryx capniomimus gen. et sp. nov. -  the first stonefly (Insecta: Plecoptera) from the European Jurassic.]	Palaeontologische Zeitschrift (Palaeont.Zeit.) 67(3/4):287-292
15825	Aubert	1960	Contribution à l'étude des Notonemourinae (Plecoptera) de l'Amérique du Sud	Mitteilungen der Schweizerischen Entomologischen Gesellschaft (Mitt. Schweiz. ent. Ges.) 33(1/2):47-64
15826	Aubert	1956	Andiperla willinki n. sp., Plécoptère nouveau des Andes Patagonie	Mitteilungen der Schweizerischen Entomologischen Gesellschaft (Mitt. Schweiz. ent. Ges.) 29(2):229-232
15827	Banks	1948[1947]	Some Characters in the Perlidæ	Psyche: A Journal of Entomology (Psyche) 54(4):266-291
15828	Banks	1948	Notes on Perlidæ	Psyche: A Journal of Entomology (Psyche) 55(3):113-130
15829	Banks	1939	New genera and species of Neuropteroid insects	Bulletin of the Museum of Comparative Zoology at Harvard College (Bull. Mus. Comp. Zool.) 85(7):439-504 + 9 pls
15830	Banks	1938	New Native Neuropteroid Insects	Psyche: A Journal of Entomology (Psyche) 45(1):72-79
15831	Banks	1938	A New Genus of Perlidæ	Psyche: A Journal of Entomology (Psyche) 45(2-3):136-138
15832	Banks	1938	New Malayan neuropteroid insects: XXI Further neuropteroid insects from Malaya	Journal of the Federated Malay States Museums (Jour.Fed.Malay States Mus.) 18(2):220-235 + 2 pls
15833	Banks	1937	Philippine neuropteroid insects from Formosa	Philippine Journal of Science (Philipp.J.Sci.) 62(3):255-291 + 3 pls
